Href,Type,Name,Teacher,Level,Duration,Date,Votes
https://www.pluralsight.com/browse?=&q=IT%20automation&type=all&sort=default,Course,Introduction to Cisco Automation and Software Defined Networks,Ross Bagurdes,Intermediate,1h 37m,2024-08-19,(35)
https://www.pluralsight.com/browse?=&q=cloud%20architecture%20design&type=all&sort=default,Course,Enhancing Cloud Security on Google Cloud with Generative AI,Victor Dantas,Beginner,15m,2024-08-19,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Introduction to Cisco Automation and Software Defined Networks,Ross Bagurdes,Intermediate,1h 37m,2024-08-19,(35)
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Enhancing Cloud Security on Google Cloud with Generative AI,Victor Dantas,Beginner,15m,2024-08-19,
https://www.pluralsight.com/browse?=&q=security%20awareness&type=all,Course,The PCI Security Standards,John Elliott,Beginner,1h 35m,2024-08-19,
https://www.pluralsight.com/browse?=&q=data%20visualization&type=all&sort=default,Course,Tableau Certified Data Analyst: Creating Content with Data,Ria Cheruvu,Beginner,1h 37m,2024-08-19,
https://www.pluralsight.com/browse,Course,Introduction to Cisco Automation and Software Defined Networks,Ross Bagurdes,Intermediate,1h 37m,2024-08-19,(35)
https://www.pluralsight.com/browse?=&q=data%20languages%20libraries&type=all&sort=default,Course,Tableau Certified Data Analyst: Creating Content with Data,Ria Cheruvu,Beginner,1h 37m,2024-08-19,
https://www.pluralsight.com/browse?=&q=business%20intelligence&type=all&sort=default,Course,Information Extraction with Azure AI Document Intelligence,Uzair Ansari,Beginner,18m,2024-08-19,
https://www.pluralsight.com/browse?=&q=security%20testing&type=all&sort=default,Course,API Testing Strategies,Marko Vajs,Beginner,58m,2024-08-14,
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,STP and EtherChannel Operation and Configuration,Ross Bagurdes,Intermediate,3h 3m,2024-08-14,(26)
https://www.pluralsight.com/browse?=&q=security%20operations&type=all&sort=default,Course,STP and EtherChannel Operation and Configuration,Ross Bagurdes,Intermediate,3h 3m,2024-08-14,(26)
https://www.pluralsight.com/browse?=&q=security%20testing&type=all&sort=default,Course,Security Engineering: Secure Networks,Chris Jackson,Intermediate,1h 43m,2024-08-13,
https://www.pluralsight.com/browse?=&q=business%20intelligence&type=all&sort=default,Course,Information Systems Operations and Business Resilience: Business Resilience,Kevin Henry,Intermediate,1h 4m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20architecture%20engineering&type=all&sort=default,Course,Secure OT Network Architecture,Davy Cavens,Intermediate,1h 19m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20risk%20compliance&type=all&sort=default,Course,Security Engineering: Secure Networks,Chris Jackson,Intermediate,1h 43m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20architecture%20engineering&type=all&sort=default,Course,Security Engineering: Secure Networks,Chris Jackson,Intermediate,1h 43m,2024-08-13,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Secure OT Network Architecture,Davy Cavens,Intermediate,1h 19m,2024-08-13,
https://www.pluralsight.com/browse?=&q=business%20intelligence&type=all&sort=default,Course,Information Systems Operations and Business Resilience: Information Systems Operations,Kevin Henry,Beginner,2h 24m,2024-08-13,
https://www.pluralsight.com/browse?=&q=data%20visualization&type=all&sort=default,Course,Create Custom Visuals and Themes in Power BI Reports,Mohamed Echout,Intermediate,13m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20operations&type=all&sort=default,Course,Information Systems Operations and Business Resilience: Business Resilience,Kevin Henry,Intermediate,1h 4m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20operations&type=all&sort=default,Course,Information Systems Operations and Business Resilience: Information Systems Operations,Kevin Henry,Beginner,2h 24m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20certifications&type=all&sort=default,Course,Security Engineering: Secure Networks,Chris Jackson,Intermediate,1h 43m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20operations&type=all&sort=default,Course,Security Engineering: Secure Networks,Chris Jackson,Intermediate,1h 43m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20awareness&type=all,Course,Secure OT Network Architecture,Davy Cavens,Intermediate,1h 19m,2024-08-13,
https://www.pluralsight.com/browse?=&q=security%20awareness&type=all,Course,Security Engineering: Secure Networks,Chris Jackson,Intermediate,1h 43m,2024-08-13,
https://www.pluralsight.com/browse?=&q=cloud%20architecture%20design&type=all&sort=default,Course,Secure OT Network Architecture,Davy Cavens,Intermediate,1h 19m,2024-08-13,
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,Information Systems Operations and Business Resilience: Business Resilience,Kevin Henry,Intermediate,1h 4m,2024-08-13,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Security Engineering: Secure Networks,Chris Jackson,Intermediate,1h 43m,2024-08-13,
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,Information Systems Operations and Business Resilience: Information Systems Operations,Kevin Henry,Beginner,2h 24m,2024-08-13,
https://www.pluralsight.com/browse?=&q=data%20languages%20libraries&type=all&sort=default,Course,SnowPro Advanced Data Analyst: Data Analysis,Bismark Adomako,Intermediate,57m,2024-08-12,
